Nama,Latitude,Longitude
Lemongrass Bogor,-6.575027581177699,106.80802778881267
Macaroni Panggang,-6.586616,106.800045
Kedai Kita,-6.587372,106.799757
Kopi Nako Kebon Jati,-6.657519,106.882194
Bumi Aki Bogor,-6.577239,106.806680
Two Stories Cafe,-6.602534,106.812658
Cimory Riverside,-6.637380,106.901594
De' Leuit,-6.599186,106.805527
Kluwih Sunda Authentic,-6.603395,106.811801
Pia Apple Pie,-6.587843,106.802117
Ngopi Di Sawah,-6.685324,106.884177
The Lake House,-6.688172,106.945892
Popolo Coffee,-6.600989,106.811756
Soto Kuning Pak Yusup,-6.605335,106.797937
Tier Siera Resto & Lounge,-6.593717,106.806553
Grand Garden Resto & Cafe,-6.598642,106.799834
Warung Nako Pajajaran,-6.604928,106.812165
Medja Restaurant,-6.605273,106.813352
Kopi Daong,-6.702773,106.866023
Bavarian Culinary Haus,-6.653457,106.901529
